Position	Name	Hits	HR	BB	K	wOBA	WAR	Salary
C	Travis d'Arnaud	37	8	18	31	0.314	0.8	$1,875,000 
C	Rene Rivera	25	0	10	28	0.27	0.1	$1,750,000 
1B	Lucas Duda	72	15	31	70	0.35	1	$7,250,000 
2B	Neil Walker	94	14	23	44	0.376	2.7	$17,200,000 
3B	Jose Reyes	43	2	19	23	0.265	-0.7	$535,000 
SS	Asdrubal Cabrera	47	5	11	27	0.325	0.4	$8,250,000 
SS	Gavin Cecchini	22	2	9	11	0.304	0.2	$535,000 
SS	Wilmer Flores	43	4	11	22	0.318	0.4	$2,200,000 
LF	Yoenis Cespedes	84	22	23	58	0.371	2.4	$22,500,000 
CF	Michael Conforto	70	14	45	52	0.404	2.8	$554,904 
CF	Curtis Granderson	23	6	17	25	0.334	0.6	$15,000,000 
RF	Jay Bruce	52	11	21	55	0.284	-0.4	$13,000,000 
RF	Travis Taijeron	10	1	2	11	0.31	0.1	$535,000 